Field;x%;y%;w%;h%;align;fontMinPt;fontMaxPt;bold;singleLine
Credits;0.0322857142857143;0.953011363636364;0.935412698412698;0.0336704545454545;center;5;5;false;1
Lore;0.0307142857142857;0.875693181818182;0.937793650793651;0.078875;center;7;9;false;0
Art;0.0314920634920635;0.268068181818182;0.937015873015873;0.360590909090909;center;9;11;false;0
Name;0.187396825396825;0.0233295454545455;0.625206349206349;0.0791136363636364;center;11;11;true;1
Id;0.031492063;0.023215909;0.157492063;0.079329545;center;8;10;false;1
Cost;0.811015873;0.023113636;0.157492063;0.079329545;center;7;10;false;1
Type;0.0314920634920635;0.101318181818182;0.937;0.0769772727272727;center;10;10;false;1
Requirements;0.0314920634920635;0.177318181818182;0.937015873015873;0.0918863636363636;center;9;9;false;1
Hab1;0.174730158730159;0.627238636363636;0.794174603174603;0.132590909090909;center;7;10;false;0
Hab2;0.0315079365079365;0.758125;0.937;0.117568181818182;center;7;10;false;0
Prep;0.0315079365079365;0.650034090909091;0.144888888888889;0.102272727272727;center;10;10;false;1
